"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1400",1400,2.58226299285889,5.63707637786865,77501.359375,1.00411593914032,1278.46081542969,19.9470367431641,20.666540145874,2.23245310783386,3.72365093231201,1.49119579792023,1.39826369285583,265457792,799.575439453125,0,163.070159912109,265457632,24.1098022460938,23.0748558044434,538.711303710938,NA,NA,4.24105596542358,0.125510409474373,0.562999367713928,0.492102473974228,9.63958168029785,9.04855251312256,455.983856201172,6.27552318572998,10.7547168731689,12.3025388717651,27.5416622161865,25.8530216217041,0.0739437788724899,0.561712384223938,22.4391994476318,7.39437818527222,NA,NA,200,0,70.4692306518555,-402.361175537109,16.6469745635986,NA,121.989311218262,6.09946727752686,121.989311218262,6.09946727752686,34.995361328125,1.19617569446564,0.31663191318512,0.159330159425735,1.31786644458771,2.18550848960876,0.881761193275452,0.71286940574646,6.86606168746948,1.31786644458771,0.693972229957581,0.0243978630751371,0
"1401",1401,2.56688070297241,5.54746580123901,77875.9375,0.9908806681633,1218.17736816406,20.6113872528076,21.4103927612305,2.15013432502747,3.64074516296387,1.4906097650528,1.40696513652802,243781072,799.646728515625,0,179.819473266602,243780864,24.6848220825195,23.242733001709,557.269104003906,NA,NA,4.20060062408447,0.126046657562256,0.560960829257965,0.490282863378525,9.99460792541504,9.31232166290283,472.88037109375,6.30233287811279,10.6666831970215,12.2570533752441,28.556022644043,26.6066436767578,0.074091911315918,0.558747529983521,22.6098937988281,7.4091911315918,NA,NA,200,0,62.7590484619141,-403.915954589844,16.6041812896729,NA,123.59635925293,6.17982053756714,123.59635925293,6.17981958389282,35.9950790405273,1.29761123657227,0.327110260725021,0.157418668270111,1.314577460289,2.24252343177795,0.888650238513947,0.714919328689575,7.08388948440552,1.314577460289,0.720502436161041,0.0247192718088627,0
"1402",1402,2.54883718490601,5.48540449142456,78178.765625,0.979181945323944,1159.41735839844,21.2662258148193,22.1478519439697,2.08930468559265,3.56417775154114,1.4748740196228,1.41148054599762,238863424,799.585876464844,0,177.245040893555,238863168,25.1718292236328,23.4326133728027,517.652160644531,NA,NA,4.12069416046143,0.12491313368082,0.561448156833649,0.487771421670914,10.3290786743164,9.54792308807373,431.792694091797,6.24565553665161,10.6280708312988,12.1942682266235,29.5116539001465,27.2797775268555,0.0743181928992271,0.557073950767517,22.8012218475342,7.43181896209717,NA,NA,200,0,5.21390771865845,-404.208862304688,16.5351638793945,NA,124.01815032959,6.20090675354004,124.01815032959,6.2009072303772,36.9947967529297,1.40295517444611,0.337484151124954,0.160473704338074,1.29233384132385,2.30728101730347,0.898370623588562,0.719915807247162,7.38812446594238,1.29233384132385,0.747063517570496,0.0248036310076714,0
"1403",1403,2.52817845344543,5.43336153030396,78114.5390625,0.970989286899567,1102.40747070312,21.9210376739502,22.8886699676514,2.22459530830383,3.70229768753052,1.47770237922668,1.41651916503906,252171328,799.267517089844,0,174.093154907227,252171136,25.769157409668,23.6430721282959,478.890289306641,NA,NA,4.17815017700195,0.125767603516579,0.562264919281006,0.485623449087143,10.6566781997681,9.76067352294922,391.523986816406,6.28838109970093,10.602089881897,12.140570640564,30.4476528167725,27.8876266479492,0.0746030732989311,0.555033147335052,23.0134353637695,7.46030712127686,NA,NA,200,0,5.47751760482788,-403.93994140625,16.4708709716797,NA,122.793670654297,6.13968276977539,122.793678283691,6.13968324661255,37.994514465332,1.51388263702393,0.347914278507233,0.162029817700386,1.2879923582077,2.70545434951782,0.916968047618866,0.730298101902008,7.57820749282837,1.2879923582077,0.772208750247955,0.0245587378740311,0
"1404",1404,2.50902366638184,5.39128541946411,78205.5546875,0.963350117206573,1047.32824707031,22.584493637085,23.6418075561523,2.195561170578,3.67236399650574,1.47680330276489,1.41376793384552,247282816,799.465942382812,0,165.88459777832,247282672,26.3099708557129,23.8837699890137,438.017395019531,NA,NA,4.1883807182312,0.128036201000214,0.563578128814697,0.483620226383209,10.984203338623,9.96215343475342,349.087829589844,6.40181016921997,10.5905618667603,12.0904874801636,31.3834400177002,28.4632835388184,0.0751398131251335,0.558683037757874,23.2499465942383,7.51398134231567,NA,NA,200,0,2.6564416885376,-400.156066894531,16.4137287139893,NA,123.522720336914,6.17613649368286,123.522720336914,6.17613744735718,38.9942321777344,1.63189494609833,0.358518868684769,0.163882911205292,1.30017828941345,3.85269713401794,0.974676728248596,0.757434725761414,7.66214418411255,1.30017828941345,0.795878648757935,0.024704547598958,0
"1405",1405,2.45852613449097,5.33993721008301,78587.9296875,0.945754706859589,994.265808105469,23.2522792816162,24.4015693664551,2.16878509521484,3.64418625831604,1.47540009021759,1.43328857421875,250762032,799.428100585938,0,163.293395996094,250761808,26.6863956451416,24.2425098419189,399.389923095703,NA,NA,4.17487812042236,0.128684610128403,0.56288743019104,0.480730026960373,11.2646837234497,10.0745315551758,309.420623779297,6.43423128128052,10.5476684570312,12.0182304382324,32.1848182678223,28.7843799591064,0.0757712200284004,0.558006107807159,23.6087322235107,7.5771222114563,NA,NA,200,0,7.85272550582886,-401.554656982422,16.3403606414795,NA,125.634223937988,6.28171110153198,125.634223937988,6.28171062469482,39.9939498901367,1.75580012798309,0.369168341159821,0.163846224546432,1.29774963855743,2.13556504249573,0.929076731204987,0.732121706008911,7.76307773590088,1.29774963855743,0.810007512569427,0.0251268465071917,0
"1406",1406,2.43731880187988,5.29551124572754,78974.125,0.937878727912903,943.2578125,23.9283332824707,25.1720809936523,2.24709320068359,3.72448587417603,1.47739219665527,1.44135749340057,250825840,799.459289550781,0,154.890853881836,250825664,27.217700958252,24.5164909362793,359.753112792969,NA,NA,4.22989988327026,0.130016505718231,0.562572658061981,0.47819310426712,11.5741357803345,10.2428827285767,268.449127197266,6.50082492828369,10.5139951705933,11.9548110961914,33.0689544677734,29.2653942108154,0.076298862695694,0.558744549751282,23.8814468383789,7.62988615036011,NA,NA,200,0,3.00959229469299,-400.971252441406,16.2660675048828,NA,126.148284912109,6.30741405487061,126.148284912109,6.30741357803345,40.9936676025391,1.8864426612854,0.379919469356537,0.164727091789246,1.30351972579956,2.53466129302979,0.967859148979187,0.75380951166153,7.85786533355713,1.30351972579956,0.832669615745544,0.0252296589314938,0
"1407",1407,2.30497455596924,5.24264669418335,79230.3359375,0.905216932296753,894.335144042969,24.6067123413086,25.9459857940674,2.12274169921875,3.5973641872406,1.47462332248688,1.48827338218689,242991984,799.484252929688,0,179.067962646484,242991840,27.1039657592773,25.26442527771,319.977874755859,NA,NA,4.1678409576416,0.129494398832321,0.560718774795532,0.474500894546509,11.7081060409546,10.0633039474487,228.982986450195,6.47472238540649,10.4536361694336,11.8625068664551,33.4517402648926,28.7523021697998,0.0773398876190186,0.551942050457001,24.6351432800293,7.73398876190186,NA,NA,200,0,7.40546226501465,-407.164154052734,16.1477565765381,NA,127.327575683594,6.36637878417969,127.327575683594,6.36637878417969,41.9933853149414,2.02214121818542,0.390623092651367,0.166081175208092,1.29287910461426,2.6107234954834,0.961910367012024,0.734406709671021,7.7836389541626,1.29287910461426,0.814763486385345,0.0254655163735151,0
"1408",1408,2.30700349807739,5.21167087554932,79559.4296875,0.909109592437744,847.500732421875,25.2946224212646,26.7314643859863,2.21858239173889,3.69310188293457,1.47452044487,1.48045718669891,258932560,799.433288574219,0,168.348373413086,258932352,27.6063575744629,25.4997997283936,450.775085449219,NA,NA,4.18917226791382,0.130638346076012,0.561487317085266,0.472522020339966,12.0161123275757,10.2364263534546,358.408447265625,6.53191947937012,10.4429759979248,11.8130369186401,34.3317451477051,29.2469520568848,0.0779489874839783,0.553011119365692,24.868839263916,7.79489898681641,NA,NA,200,0,169.22819519043,-401.13623046875,16.0953731536865,NA,126.693572998047,6.33468103408813,126.693572998047,6.33468103408813,42.9931030273438,2.16470813751221,0.401414334774017,0.167465001344681,1.29869830608368,3.32800102233887,1.02795386314392,0.774462997913361,7.88206624984741,1.29869830608368,0.842904031276703,0.0253387149423361,0
"1409",1409,2.30410051345825,5.17457056045532,80049.8125,0.909830629825592,802.752380371094,25.9825477600098,27.5169010162354,2.08907198905945,3.54258513450623,1.45351302623749,1.49211430549622,254513040,799.2578125,0,165.503265380859,254512896,27.9463558197021,25.7564182281494,412.628845214844,NA,NA,4.10284852981567,0.129077687859535,0.560909986495972,0.469837039709091,12.3002014160156,10.3834819793701,319.206481933594,6.4538836479187,10.4120254516602,11.7459096908569,35.1434288024902,29.6671276092529,0.0785109326243401,0.55420047044754,25.123706817627,7.85109329223633,NA,NA,200,0,6.05540800094604,-401.899627685547,16.028377532959,NA,127.68074798584,6.38403844833374,127.68074798584,6.38403844833374,43.9928207397461,2.31131792068481,0.412075400352478,0.167432487010956,1.27609074115753,3.02082252502441,1.06285417079926,0.801715791225433,8.13694667816162,1.27609074115753,0.870478510856628,0.0255361516028643,0
